,quality,alcohol,pH
0,5,9.4,3.51
1,5,9.8,3.2
2,5,9.8,3.26
3,6,9.8,3.16
4,5,9.4,3.51
5,5,9.4,3.51
6,5,9.4,3.3
7,7,10.0,3.39
8,7,9.5,3.36
9,5,10.5,3.35
10,5,9.2,3.28
11,5,10.5,3.35
12,5,9.9,3.58
13,5,9.1,3.26
14,5,9.2,3.16
15,5,9.2,3.17
16,7,10.5,3.3
17,5,9.3,3.11
18,4,9.0,3.38
19,6,9.2,3.04
20,6,9.4,3.39
21,5,9.7,3.52
22,5,9.5,3.17
23,5,9.4,3.17
24,6,9.7,3.43
25,5,9.3,3.34
26,5,9.5,3.28
27,5,9.5,3.17
28,5,9.4,3.47
29,6,9.8,3.38
30,5,10.1,3.35
31,6,10.6,3.46
32,5,9.8,3.17
33,6,9.4,3.45
34,5,9.2,3.38
35,6,9.6,3.4
36,6,10.8,3.42
37,7,9.7,3.23
38,4,9.8,3.5
39,5,10.5,3.33
40,5,10.5,3.33
41,4,9.3,3.26
42,6,10.5,3.21
43,5,10.3,3.3
44,5,9.5,3.48
45,4,13.1,3.9
46,5,9.2,3.25
47,5,9.5,3.25
48,5,9.2,3.34
49,5,9.2,3.32
50,5,9.2,3.15
51,6,9.4,3.4
52,6,9.4,3.39
53,5,9.4,3.2
54,6,10.2,3.17
55,5,9.5,3.34
56,5,9.6,3.04
57,5,9.4,3.26
58,5,10.0,3.43
59,6,9.4,3.41
60,5,9.2,3.44
61,5,9.3,3.21
62,7,9.5,3.38
63,5,9.8,3.39
64,5,10.9,3.41
65,5,10.9,3.41
66,5,9.6,3.42
67,5,10.7,3.44
68,5,10.7,3.28
69,6,10.5,3.34
70,6,9.5,3.32
71,5,9.5,3.32
72,5,9.5,3.31
73,4,9.2,3.31
74,5,9.6,3.28
75,5,10.5,3.54
76,5,10.5,3.54
77,6,10.7,3.52
78,5,10.1,3.38
79,4,9.1,3.16
80,5,9.2,3.41
81,5,9.4,3.13
82,5,9.1,3.36
83,5,9.4,3.16
84,6,10.3,3.44
85,5,10.1,3.41
86,6,9.9,2.93
87,5,9.6,3.39
88,5,9.5,3.14
89,5,9.0,3.48
90,5,9.5,3.23
91,6,9.9,2.93
92,5,9.8,2.93
93,5,9.6,3.39
94,4,10.5,3.75
95,6,12.9,3.85
